Fecha y hora,Departamento,Jurisdiccion,Tipo de siniestro,Vehiculo,Rol,Edad,Sexo,Dias Fallecidos,Otro vehiculo,Lugar del Siniestro,Latitud,Longitud
1/31/2013 11:55:00,CANELONES,NACIONAL,COLISION ENTRE VEHICULOS,MOTO,CONDUCTOR,24,M,14,CAMION,RUTA INTERBALNEARIA esq. CALLE A,-34.516667,-56.283333
1/31/2013 16:10:00,PAYSANDU,DEPARTAMENTAL,COLISION ENTRE VEHICULOS,MOTO,CONDUCTOR,14,M,1,CAMIONETA,GRITO DE ASENCIO esq. WASHINGTON,-32.3134362,-58.0825466
1/31/2013 19:30:00,SAN JOSE,NACIONAL,COLISION CON OBSTACULO,AUTO,CONDUCTOR,40,M,1,,RUTA 1 km. 32.500,-34.7536068,-56.4131806
2/2/2013 5:30:00,TACUAREMBO,DEPARTAMENTAL,COLISION ENTRE VEHICULOS,MOTO,CONDUCTOR,18,M,0,CAMION,DIECIOCHO DE JULIO esq. PAYSANDU,-32.3089489,-58.0815118
2/2/2013 17:50:00,SAN JOSE,NACIONAL,COLISION ENTRE VEHICULOS,MOTO,CONDUCTOR,48,M,0,CAMIONETA,RUTA 11 km. 52.500,-34.3449612,-56.7168355
2/4/2013 1:30:00,MONTEVIDEO,NACIONAL,COLISION ENTRE VEHICULOS,AUTO,PASAJERO,1,M,2,CAMIONETA,RUTA 5 esq. CAMINO ALTUNA,-34.7697536,-56.2805391
2/4/2013 7:00:00,MONTEVIDEO,DEPARTAMENTAL,COLISION ENTRE VEHICULOS,AUTO,CONDUCTOR,23,M,0,OMNIBUS,AVENIDA DON PEDRO DE MENDOZA esq. CAMINO LOS VIóEDOS,-34.756279,-56.1654701
2/4/2013 7:00:00,MONTEVIDEO,DEPARTAMENTAL,COLISION ENTRE VEHICULOS,AUTO,PASAJERO,49,F,0,OMNIBUS,AVENIDA DON PEDRO DE MENDOZA esq. CAMINO LOS VIóEDOS,-34.756279,-56.1654701
2/4/2013 9:20:00,RIVERA,DEPARTAMENTAL,COLISION ENTRE VEHICULOS,MOTO,CONDUCTOR,21,F,1,AUTO,DOCTOR ANOLLES esq. GENERAL JUAN ANTONIO LAVALLEJA,-30.8989986,-55.551785
2/5/2013 0:10:00,MONTEVIDEO,DEPARTAMENTAL,COLISION ENTRE VEHICULOS,MOTO,CONDUCTOR,18,M,0,CAMIONETA,CAMINO MALDONADO esq. AVENIDA DOCTOR JIMENEZ DE ARECHAGA,-34.8640074,-56.1710529
2/5/2013 0:40:00,CANELONES,NACIONAL,ATROPELLO DE PEATON,PEATON,PEATON,24,F,0,AUTO,RUTA INTERBALNEARIA km. 52,-34.7900943,-55.92794
2/6/2013 0:10:00,PAYSANDU,DEPARTAMENTAL,COLISION ENTRE VEHICULOS,MOTO,CONDUCTOR,29,F,1,MOTO,VENEZUELA esq. DOCTOR ROLDAN,-32.2796402,-58.0765114
