Fecha y hora,Departamento,JurisdicciÆn ,Tipo de siniestro,Veh–culo,Rol,Edad,Sexo,Fallecido a los (D–as),Otro veh–culo,Lugar del Siniestro,0.0,0.0
02/02/2013 05:30,TACUAREMBO,DEPARTAMENTAL,COLISION ENTRE VEHICULOS,MOTO,CONDUCTOR,18,M,0,CAMION,DIECIOCHO DE JULIO esq. PAYSANDU,-32.3089489,-58.08151179999999
02/02/2013 17:50,SAN JOSE,NACIONAL,COLISION ENTRE VEHICULOS,MOTO,CONDUCTOR,48,M,0,CAMIONETA,RUTA 11 km. 52.500,-34.3449612,-56.71683549999999
04/02/2013 01:30,MONTEVIDEO,NACIONAL,COLISION ENTRE VEHICULOS,AUTO,PASAJERO,1,M,2,CAMIONETA,RUTA 5 esq. CAMINO ALTUNA,-34.7697536,-56.28053910000001
04/02/2013 07:00,MONTEVIDEO,DEPARTAMENTAL,COLISION ENTRE VEHICULOS,AUTO,CONDUCTOR,23,M,0,OMNIBUS,AVENIDA DON PEDRO DE MENDOZA esq. CAMINO LOS VIÛEDOS,-34.756279,-56.1654701
04/02/2013 07:00,MONTEVIDEO,DEPARTAMENTAL,COLISION ENTRE VEHICULOS,AUTO,PASAJERO,49,F,0,OMNIBUS,AVENIDA DON PEDRO DE MENDOZA esq. CAMINO LOS VIÛEDOS,-34.756279,-56.1654701
04/02/2013 09:20,RIVERA,DEPARTAMENTAL,COLISION ENTRE VEHICULOS,MOTO,CONDUCTOR,21,F,1,AUTO,DOCTOR ANOLLES esq. GENERAL JUAN ANTONIO LAVALLEJA,-30.8989986,-55.551785
05/02/2013 00:10,MONTEVIDEO,DEPARTAMENTAL,COLISION ENTRE VEHICULOS,MOTO,CONDUCTOR,18,M,0,CAMIONETA,CAMINO MALDONADO esq. AVENIDA DOCTOR JIMENEZ DE ARECHAGA,-34.8640074,-56.1710529
05/02/2013 00:40,CANELONES,NACIONAL,ATROPELLO DE PEATON,PEATON,PEATON,24,F,0,AUTO,RUTA INTERBALNEARIA km. 52,-34.7900943,-55.92794
06/02/2013 00:10,PAYSANDU,DEPARTAMENTAL,COLISION ENTRE VEHICULOS,MOTO,CONDUCTOR,29,F,1,MOTO,VENEZUELA esq. DOCTOR ROLDAN,-32.2796402,-58.0765114
06/02/2013 20:00,ROCHA,NACIONAL,COLISION ENTRE VEHICULOS,MOTO,CONDUCTOR,N,M,0,AUTO,RUTA 15 km. 193,-34.4878288,-54.319523
07/02/2013 12:20,CERRO LARGO,DEPARTAMENTAL,ATROPELLO DE PEATON,PEATON,PEATON,82,F,0,OMNIBUS,DOROTEO NAVARRETE esq. DOCTOR LUIS ALBERTO DE HERRERA,-32.3698311,-54.1654816
07/02/2013 14:00,MONTEVIDEO,NACIONAL,COLISION ENTRE VEHICULOS,MOTO,CONDUCTOR,59,M,0,CAMION,RUTA 5 esq. RUTA 102,-34.793125,-56.0730363
07/02/2013 19:08,TACUAREMBO,NACIONAL,ATROPELLO DE PEATON,PEATON,PEATON,59,M,0,CAMION,RUTA 26 esq. APOLO XI,-31.7618408,-55.6971016
08/02/2013 06:00,CANELONES,NACIONAL,CAIDA,MOTO,PASAJERO,23,F,1,,RUTA 7 km. 45,-34.7679203,-55.7678729
08/02/2013 23:00,MONTEVIDEO,DEPARTAMENTAL,COLISION ENTRE VEHICULOS,MOTO,CONDUCTOR,20,M,0,AUTO,BULEVAR BATLLE Y ORDOÛEZ esq. TERMOPILAS,-34.8602104,-56.1728287
10/02/2013 06:30,MONTEVIDEO,DEPARTAMENTAL,DESPISTE,AUTO,PASAJERO,24,F,0,,AVENIDA LUIS BATLLE BERRES esq. CAMINO PASO DE LA ARENA,-34.8217674,-56.3103671
10/02/2013 16:00,FLORIDA,DEPARTAMENTAL,CAIDA,MOTO,CONDUCTOR,49,M,1,,RUTA 14 a aprox. 6 Kms 800 mts. de intersecci´n con RUTA 6,0.0,0.0
11/02/2013 07:30,MALDONADO,DEPARTAMENTAL,COLISION ENTRE VEHICULOS,AUTO,CONDUCTOR,22,M,0,CAMIONETA,AVENIDA APARICIO SARAVIA esq. SAN PABLO,-34.6277617,-54.9611836
11/02/2013 07:30,MALDONADO,DEPARTAMENTAL,COLISION ENTRE VEHICULOS,CAMIONETA,PASAJERO,26,M,0,AUTO,AVENIDA APARICIO SARAVIA esq. SAN PABLO,-34.6277617,-54.9611836
11/02/2013 07:30,MALDONADO,DEPARTAMENTAL,COLISION ENTRE VEHICULOS,AUTO,PASAJERO,27,M,0,CAMIONETA,AVENIDA APARICIO SARAVIA esq. SAN PABLO,-34.6277617,-54.9611836
11/02/2013 08:50,CANELONES,NACIONAL,CAIDA,BICICLETA,CONDUCTOR,72,M,0,,RUTA 107 km. 3.500,-34.5588807,-56.19138969999999
